Series_Title,Released_Year,Meta_score,Gross,Certificate
Hamilton,2020,90.0,,PG-13
Soorarai Pottru,2020,,,U
Seppuku,1962,85.0,,
It's a Wonderful Life,1946,89.0,1483643.0,PG
Hotaru no haka,1988,94.0,,U
Ayla: The Daughter of War,2017,,,
Vikram Vedha,2017,,,UA
Dangal,2016,,12391761.0,U
Taare Zameen Par,2007,,1223869.0,U
Once Upon a Time in America,1984,75.0,5321508.0,A
Anand,1971,,,U
Tengoku to jigoku,1963,,,
Witness for the Prosecution,1957,76.0,8175000.0,U
Paths of Glory,1957,90.0,,A
Sunset Blvd.,1950,,,Passed
The Great Dictator,1940,,288475.0,Passed
Tumbbad,2018,,,A
Andhadhun,2018,,1373943.0,UA
Drishyam,2013,,,U
Miracle in cell NO.7,2019,,,TV-14
Babam ve Oglum,2005,,,
Idi i smotri,1985,,,A
Ikiru,1952,92.0,55240.0,Not Rated
Ladri di biciclette,1948,,332930.0,
M - Eine Stadt sucht einen Mörder,1931,,28877.0,Passed
Metropolis,1927,98.0,1236166.0,Not Rated
The Kid,1921,,5450000.0,Passed
Chhichhore,2019,,898575.0,UA
Uri: The Surgical Strike,2018,,4186168.0,UA
K.G.F: Chapter 1,2018,,,UA
Talvar,2015,,342370.0,UA
Baahubali 2: The Conclusion,2017,,20186659.0,UA
Klaus,2019,65.0,,PG
Drishyam,2015,,739478.0,UA
Queen,2013,,1429534.0,UA
Mandariinid,2013,73.0,144501.0,
Bhaag Milkha Bhaag,2013,,1626289.0,U
Gangs of Wasseypur,2012,89.0,,A
Udaan,2010,,7461.0,UA
Paan Singh Tomar,2012,,39567.0,UA
Rang De Basanti,2006,,2197331.0,UA
Black,2005,,733094.0,U
"Swades: We, the People",2004,,1223240.0,U
Hera Pheri,2000,,,U
Eskiya,1996,,,
Andaz Apna Apna,1994,,,U
Dom za vesanje,1988,,280015.0,R
Stalker,1979,85.0,234723.0,U
Höstsonaten,1978,,,U
The Message,1976,,,PG
Sholay,1975,,,U
